competitor,chroma_subsampling,quality,criterion,images,jpegli_better,competitor_better,tied_or_mixed
apple_imageio,420,90,cvvdp_jod,30,14,16,0
apple_imageio,420,90,dists,30,2,28,0
apple_imageio,420,90,all_four,30,0,3,27
apple_imageio,420,95,ssimulacra2,30,24,6,0
apple_imageio,420,95,butteraugli,30,18,12,0
apple_imageio,420,95,cvvdp_jod,30,14,16,0
apple_imageio,420,95,dists,30,2,28,0
apple_imageio,420,95,all_four,30,1,4,25
apple_imageio,420,100,ssimulacra2,30,26,4,0
apple_imageio,420,100,butteraugli,30,16,14,0
apple_imageio,420,100,cvvdp_jod,30,10,19,1
apple_imageio,420,100,dists,30,3,27,0
apple_imageio,420,100,all_four,30,1,4,25
