image,width,height,quality,chroma_subsampling,progressive_level,jpeg_bytes,bits_per_pixel,jpegli_version,turbojpeg_api,decoder,ssimulacra2,butteraugli,decoded_image,cvvdp_jod,dists
937476dd72f98638f34299dda5e9c252621b5e809c364692fc2934e000583286.png,2048,1536,25,444,0,539209,1.371279399,51760c09,3002000,turbojpeg,51.434527192,4.336763382,q025-444-p0/turbojpeg/937476dd72f98638f34299dda5e9c252621b5e809c364692fc2934e000583286.png,9.417077065,0.118984580
a2a946cc516f9eec0f141da3c31a96df94fe342c651af46f0d38f6c04400323a.png,1360,2048,25,444,0,175548,0.504216452,51760c09,3002000,apple_imageio,53.701704678,5.265675545,q025-444-p0/apple_imageio/a2a946cc516f9eec0f141da3c31a96df94fe342c651af46f0d38f6c04400323a.png,9.702338219,0.075607359
a2a946cc516f9eec0f141da3c31a96df94fe342c651af46f0d38f6c04400323a.png,1360,2048,25,444,0,175548,0.504216452,51760c09,3002000,jpegli,52.352517358,5.305659294,q025-444-p0/jpegli/a2a946cc516f9eec0f141da3c31a96df94fe342c651af46f0d38f6c04400323a.png,9.657370567,0.086097300
a2a946cc516f9eec0f141da3c31a96df94fe342c651af46f0d38f6c04400323a.png,1360,2048,25,444,0,175548,0.504216452,51760c09,3002000,turbojpeg,53.700255710,5.254158020,q025-444-p0/turbojpeg/a2a946cc516f9eec0f141da3c31a96df94fe342c651af46f0d38f6c04400323a.png,9.702344894,0.075510025
a365e6541bab5c0f4e01bf43a0c3a655d88292a8ac45403a889c308d11854555.png,2048,1360,25,444,0,302200,0.867991728,51760c09,3002000,apple_imageio,44.675314361,4.929453373,q025-444-p0/apple_imageio/a365e6541bab5c0f4e01bf43a0c3a655d88292a8ac45403a889c308d11854555.png,9.538517952,0.093474388
a365e6541bab5c0f4e01bf43a0c3a655d88292a8ac45403a889c308d11854555.png,2048,1360,25,444,0,302200,0.867991728,51760c09,3002000,jpegli,44.010301282,5.112830162,q025-444-p0/jpegli/a365e6541bab5c0f4e01bf43a0c3a655d88292a8ac45403a889c308d11854555.png,9.514940262,0.096116722
a365e6541bab5c0f4e01bf43a0c3a655d88292a8ac45403a889c308d11854555.png,2048,1360,25,444,0,302200,0.867991728,51760c09,3002000,turbojpeg,44.683909575,4.948888779,q025-444-p0/turbojpeg/a365e6541bab5c0f4e01bf43a0c3a655d88292a8ac45403a889c308d11854555.png,9.538419724,0.093538582
b0b3744cc6b5ad6426b1ac02909b4389ea7fc4140d72a888ccdfb21f573a6db4.png,2048,1360,25,444,0,267460,0.768210018,51760c09,3002000,apple_imageio,48.518242022,5.017483234,q025-444-p0/apple_imageio/b0b3744cc6b5ad6426b1ac02909b4389ea7fc4140d72a888ccdfb21f573a6db4.png,9.484516144,0.101042747
b0b3744cc6b5ad6426b1ac02909b4389ea7fc4140d72a888ccdfb21f573a6db4.png,2048,1360,25,444,0,267460,0.768210018,51760c09,3002000,jpegli,46.951348656,5.219306946,q025-444-p0/jpegli/b0b3744cc6b5ad6426b1ac02909b4389ea7fc4140d72a888ccdfb21f573a6db4.png,9.459860802,0.110563874
b0b3744cc6b5ad6426b1ac02909b4389ea7fc4140d72a888ccdfb21f573a6db4.png,2048,1360,25,444,0,267460,0.768210018,51760c09,3002000,turbojpeg,48.485354415,5.019332409,q025-444-p0/turbojpeg/b0b3744cc6b5ad6426b1ac02909b4389ea7fc4140d72a888ccdfb21f573a6db4.png,9.484661102,0.100996554
bb7344a2ba499b2d48b891abee1b903dc17d265437ac57028b5999b6cd5bcdc4.png,2048,1024,25,444,0,83692,0.319259644,51760c09,3002000,apple_imageio,60.850641447,5.162624359,q025-444-p0/apple_imageio/bb7344a2ba499b2d48b891abee1b903dc17d265437ac57028b5999b6cd5bcdc4.png,9.755776405,0.145517766
bb7344a2ba499b2d48b891abee1b903dc17d265437ac57028b5999b6cd5bcdc4.png,2048,1024,25,444,0,83692,0.319259644,51760c09,3002000,jpegli,59.805289638,5.181015491,q025-444-p0/jpegli/bb7344a2ba499b2d48b891abee1b903dc17d265437ac57028b5999b6cd5bcdc4.png,9.709255219,0.149890304
bb7344a2ba499b2d48b891abee1b903dc17d265437ac57028b5999b6cd5bcdc4.png,2048,1024,25,444,0,83692,0.319259644,51760c09,3002000,turbojpeg,60.844407824,5.157687187,q025-444-p0/turbojpeg/bb7344a2ba499b2d48b891abee1b903dc17d265437ac57028b5999b6cd5bcdc4.png,9.755554199,0.145502925
c9510efb03d1852c29ecad84cc0558768728681a3b9b04eae0dbbd9be142dd95.png,2048,1360,25,444,0,156959,0.450824334,51760c09,3002000,apple_imageio,60.633621431,5.677211761,q025-444-p0/apple_imageio/c9510efb03d1852c29ecad84cc0558768728681a3b9b04eae0dbbd9be142dd95.png,9.811904907,0.065383315
c9510efb03d1852c29ecad84cc0558768728681a3b9b04eae0dbbd9be142dd95.png,2048,1360,25,444,0,156959,0.450824334,51760c09,3002000,jpegli,60.881126920,6.856194019,q025-444-p0/jpegli/c9510efb03d1852c29ecad84cc0558768728681a3b9b04eae0dbbd9be142dd95.png,9.801675797,0.070335627
c9510efb03d1852c29ecad84cc0558768728681a3b9b04eae0dbbd9be142dd95.png,2048,1360,25,444,0,156959,0.450824334,51760c09,3002000,turbojpeg,60.648371322,5.713199139,q025-444-p0/turbojpeg/c9510efb03d1852c29ecad84cc0558768728681a3b9b04eae0dbbd9be142dd95.png,9.811980247,0.065357924
d0208a1e9b4fde642b9752da2907d82d5b530a6e2e6e18ef71d5524a92d1cf9a.png,1360,2048,25,444,0,331757,0.952886604,51760c09,3002000,apple_imageio,47.136302677,4.727632999,q025-444-p0/apple_imageio/d0208a1e9b4fde642b9752da2907d82d5b530a6e2e6e18ef71d5524a92d1cf9a.png,9.393644333,0.129466653
d0208a1e9b4fde642b9752da2907d82d5b530a6e2e6e18ef71d5524a92d1cf9a.png,1360,2048,25,444,0,331757,0.952886604,51760c09,3002000,jpegli,45.844914021,4.900474548,q025-444-p0/jpegli/d0208a1e9b4fde642b9752da2907d82d5b530a6e2e6e18ef71d5524a92d1cf9a.png,9.345255852,0.136654794
d0208a1e9b4fde642b9752da2907d82d5b530a6e2e6e18ef71d5524a92d1cf9a.png,1360,2048,25,444,0,331757,0.952886604,51760c09,3002000,turbojpeg,47.147585706,4.718008041,q025-444-p0/turbojpeg/d0208a1e9b4fde642b9752da2907d82d5b530a6e2e6e18ef71d5524a92d1cf9a.png,9.393367767,0.129474044
da52c4f66dc00c2f381e8475fbf8a7aa2c5433a9c59cc175646c62e02892faf7.png,2048,1360,25,444,0,366514,1.052717142,51760c09,3002000,apple_imageio,62.344636654,4.339130878,q025-444-p0/apple_imageio/da52c4f66dc00c2f381e8475fbf8a7aa2c5433a9c59cc175646c62e02892faf7.png,9.730172157,0.116016150
da52c4f66dc00c2f381e8475fbf8a7aa2c5433a9c59cc175646c62e02892faf7.png,2048,1360,25,444,0,366514,1.052717142,51760c09,3002000,jpegli,61.863974353,4.508774757,q025-444-p0/jpegli/da52c4f66dc00c2f381e8475fbf8a7aa2c5433a9c59cc175646c62e02892faf7.png,9.709161758,0.122923017
da52c4f66dc00c2f381e8475fbf8a7aa2c5433a9c59cc175646c62e02892faf7.png,2048,1360,25,444,0,366514,1.052717142,51760c09,3002000,turbojpeg,62.326249812,4.384824753,q025-444-p0/turbojpeg/da52c4f66dc00c2f381e8475fbf8a7aa2c5433a9c59cc175646c62e02892faf7.png,9.730097771,0.116065383
e0d8e29cadfc99663c7d1a4a5afe20c454ec54d0d873776ec397c59405c74790.png,1360,2048,25,444,0,103123,0.296194278,51760c09,3002000,apple_imageio,46.254494762,5.211336136,q025-444-p0/apple_imageio/e0d8e29cadfc99663c7d1a4a5afe20c454ec54d0d873776ec397c59405c74790.png,9.601749420,0.154073477
e0d8e29cadfc99663c7d1a4a5afe20c454ec54d0d873776ec397c59405c74790.png,1360,2048,25,444,0,103123,0.296194278,51760c09,3002000,jpegli,44.153096064,5.395989418,q025-444-p0/jpegli/e0d8e29cadfc99663c7d1a4a5afe20c454ec54d0d873776ec397c59405c74790.png,9.553996086,0.159121513
e0d8e29cadfc99663c7d1a4a5afe20c454ec54d0d873776ec397c59405c74790.png,1360,2048,25,444,0,103123,0.296194278,51760c09,3002000,turbojpeg,46.267613515,5.211336136,q025-444-p0/turbojpeg/e0d8e29cadfc99663c7d1a4a5afe20c454ec54d0d873776ec397c59405c74790.png,9.601661682,0.153969228
ebfd571f1c6824316047a29cb5f376eec15f56dd51821119c1842be068a8b950.png,2048,2048,25,444,0,252746,0.482074738,51760c09,3002000,apple_imageio,63.743143650,5.739937782,q025-444-p0/apple_imageio/ebfd571f1c6824316047a29cb5f376eec15f56dd51821119c1842be068a8b950.png,9.864854813,0.104603171
ebfd571f1c6824316047a29cb5f376eec15f56dd51821119c1842be068a8b950.png,2048,2048,25,444,0,252746,0.482074738,51760c09,3002000,jpegli,64.415709013,5.713912010,q025-444-p0/jpegli/ebfd571f1c6824316047a29cb5f376eec15f56dd51821119c1842be068a8b950.png,9.852783203,0.113501549
ebfd571f1c6824316047a29cb5f376eec15f56dd51821119c1842be068a8b950.png,2048,2048,25,444,0,252746,0.482074738,51760c09,3002000,turbojpeg,63.745897932,5.762206554,q025-444-p0/turbojpeg/ebfd571f1c6824316047a29cb5f376eec15f56dd51821119c1842be068a8b950.png,9.864683151,0.104575396
eda6d42794b0d0140628fa90fc0c14a7ba88159b8474d0077027c32ee2ddf6f0.png,1632,2048,25,444,0,292585,0.700312596,51760c09,3002000,apple_imageio,44.755622330,5.561040878,q025-444-p0/apple_imageio/eda6d42794b0d0140628fa90fc0c14a7ba88159b8474d0077027c32ee2ddf6f0.png,9.565073967,0.088676155
eda6d42794b0d0140628fa90fc0c14a7ba88159b8474d0077027c32ee2ddf6f0.png,1632,2048,25,444,0,292585,0.700312596,51760c09,3002000,jpegli,45.213564874,5.638540745,q025-444-p0/jpegli/eda6d42794b0d0140628fa90fc0c14a7ba88159b8474d0077027c32ee2ddf6f0.png,9.546052933,0.091276526
