quality,chroma_subsampling,decoder,images,bits_per_pixel,ssimulacra2_mean,ssimulacra2_median,ssimulacra2_worst,butteraugli_mean,butteraugli_median,butteraugli_worst,cvvdp_jod_mean,cvvdp_jod_median,cvvdp_jod_worst,dists_mean,dists_median,dists_worst
40,444,turbojpeg,30,0.685418033,60.505313660,60.744900824,52.071141550,4.385668262,4.416878462,5.761624813,9.734377925,9.747873306,9.569620132,0.097961175,0.087633163,0.210037231
40,444,apple_imageio,30,0.685418033,60.532074659,60.751824159,52.137119946,4.368815470,4.415027380,5.275849342,9.734571902,9.747830868,9.569524765,0.097978071,0.087639272,0.209635198
45,444,jpegli,30,0.727468659,61.964108189,61.951305670,52.406375247,4.283422009,4.275208712,5.268754959,9.741110961,9.750994682,9.579537392,0.098372638,0.091415704,0.209150970
45,444,turbojpeg,30,0.727468659,62.743630093,63.117987298,54.354144980,4.134066518,4.095942020,5.122311592,9.763199520,9.773515701,9.596788406,0.092537685,0.081014544,0.204479456
45,444,apple_imageio,30,0.727468659,62.746198293,63.126771417,54.413358929,4.131498496,4.092620373,5.129048347,9.763330619,9.773143768,9.596705437,0.092479763,0.080898076,0.204293370
50,444,jpegli,30,0.764730900,63.786491915,63.549531930,54.650086142,4.108883445,4.091921807,4.941017151,9.764965185,9.775876999,9.600140572,0.093265174,0.083677560,0.205888569
50,444,turbojpeg,30,0.764730900,64.519938961,64.374945000,56.676240231,3.978865830,3.862625957,4.942636967,9.785904662,9.789955139,9.616876602,0.087235220,0.074983298,0.198616147
50,444,apple_imageio,30,0.764730900,64.524199139,64.378786671,56.678891191,3.985244481,3.909686803,4.957017422,9.785952059,9.790077686,9.616909027,0.087223907,0.074828624,0.198148549
55,444,jpegli,30,0.809672811,65.720553178,65.285747121,56.761771086,3.876245817,3.840980410,5.332970619,9.790575981,9.796873570,9.625442505,0.087708432,0.077407211,0.199762702
55,444,turbojpeg,30,0.809672811,66.175835211,66.021774643,58.655544915,3.771952033,3.759395957,4.592842579,9.808442720,9.806666375,9.641156197,0.081927685,0.070793598,0.194242895
55,444,apple_imageio,30,0.809672811,66.190714751,66.014726480,58.709066719,3.770592411,3.755839467,4.602643490,9.808647665,9.807101727,9.641189575,0.081920689,0.070741951,0.194234610
60,444,jpegli,30,0.876150763,68.135301464,67.528953259,59.531945953,3.644911297,3.573785901,4.700191975,9.819560178,9.818437576,9.649398804,0.081107694,0.071114302,0.193099499
60,444,turbojpeg,30,0.876150763,68.774485723,68.113508480,61.760315250,3.527022489,3.490618348,4.403760910,9.836393388,9.829912662,9.663549423,0.075286686,0.064567179,0.186442018
60,444,apple_imageio,30,0.876150763,68.813689688,68.124459047,61.735287476,3.524601110,3.496768355,4.407846451,9.836564732,9.830582619,9.663657188,0.075221167,0.064442962,0.186000347
65,444,jpegli,30,0.940243428,70.029491251,69.404097994,61.847477698,3.403737760,3.363294125,4.571471691,9.841839536,9.837406159,9.675497055,0.075507599,0.065456629,0.186705709
65,444,turbojpeg,30,0.940243428,70.474414262,69.904338048,63.398034371,3.269746152,3.206719518,4.164332390,9.856262207,9.855760097,9.689286232,0.069712571,0.058940321,0.178644717
65,444,apple_imageio,30,0.940243428,70.438424114,69.998324094,63.481562726,3.303917058,3.245977164,4.288876057,9.855829302,9.855728626,9.689168930,0.069708367,0.058976113,0.178479731
70,444,jpegli,30,1.036008238,72.590128786,72.243245551,64.931174884,3.131242887,3.134776473,3.999263763,9.868160343,9.869467259,9.705552101,0.068280993,0.059307784,0.176554739
70,444,turbojpeg,30,1.036008238,72.528312041,72.123621134,66.208845913,3.004428816,3.023773193,3.467044830,9.878221830,9.878195285,9.718354225,0.062856168,0.053754032,0.167463660
70,444,apple_imageio,30,1.036008238,72.481172973,72.092661746,66.197159687,3.008233245,3.022896409,3.458304882,9.878147348,9.878256798,9.718289375,0.062896731,0.053841591,0.167512536
75,444,jpegli,30,1.140896133,74.848895465,74.828226954,67.687408034,2.842511026,2.805918813,3.625257015,9.891202323,9.897017479,9.736186981,0.061106350,0.052056879,0.162784934
75,444,turbojpeg,30,1.140896133,74.690342786,74.172539269,68.722603331,2.731325897,2.732875466,3.139036417,9.898998674,9.901936531,9.747390747,0.055897655,0.046786308,0.150685430
75,444,apple_imageio,30,1.140896133,74.659130235,74.280841358,68.745460920,2.732924302,2.772942663,3.149831772,9.898923874,9.902126789,9.747351646,0.055843745,0.046777665,0.150631189
80,444,jpegli,30,1.296359912,77.635783073,77.830440049,71.122434880,2.490683524,2.467033148,3.409417629,9.912391663,9.914270401,9.769700050,0.053068201,0.043849974,0.141902030
80,444,turbojpeg,30,1.296359912,77.311875138,76.843812794,71.311082015,2.419778776,2.399238706,2.892461777,9.917616876,9.917529583,9.779354095,0.047490056,0.038238257,0.124753773
80,444,apple_imageio,30,1.296359912,77.286548506,76.850518062,71.362052587,2.412591382,2.395971894,2.896407127,9.916911761,9.917926789,9.779445648,0.047453731,0.038198173,0.124775648
85,444,jpegli,30,1.532128146,80.788157373,80.994643045,74.976912861,2.123534596,2.082596064,2.826897383,9.935438506,9.941082478,9.813665390,0.042926164,0.034523487,0.115329385
85,444,turbojpeg,30,1.532128146,80.353347034,80.167161894,75.572512731,2.090439769,2.086653590,2.478858948,9.937934558,9.939549446,9.821966171,0.037280518,0.029098690,0.094695091
85,444,apple_imageio,30,1.532128146,80.331712769,80.101754243,75.542025101,2.097263332,2.098162174,2.478975773,9.937714036,9.939735889,9.821928978,0.037254542,0.029111445,0.094605327
90,444,jpegli,30,1.954947614,84.687190225,84.822346374,79.995358809,1.643033882,1.623397350,2.064126730,9.960982800,9.966568470,9.880751610,0.028971130,0.022883803,0.073592067
90,444,turbojpeg,30,1.954947614,84.014517009,83.828912175,80.093914024,1.653530645,1.630370081,1.995656013,9.960509427,9.964473724,9.886936188,0.023737834,0.020597309,0.056840777
90,444,apple_imageio,30,1.954947614,83.957416814,83.893370951,80.055194601,1.645070112,1.629846275,1.981938601,9.960253557,9.961986065,9.886924744,0.023746530,0.020651072,0.056904018
95,444,jpegli,30,2.866452203,89.388711420,89.415859484,86.227856602,1.054366501,1.026710213,1.445872545,9.984373124,9.988299370,9.950408936,0.012926147,0.009484291,0.038246512
95,444,turbojpeg,30,2.866452203,88.523812487,88.502256833,86.072664034,1.146478838,1.110452294,1.736093283,9.982241503,9.984638214,9.953804970,0.009441962,0.006761521,0.025458872
95,444,apple_imageio,30,2.866452203,88.446667970,88.463780783,86.039734071,1.152005247,1.111580014,1.804377079,9.981839371,9.984224320,9.953879356,0.009455675,0.006777585,0.025563657
100,444,jpegli,30,6.827260212,94.105591180,94.516307259,90.310376800,0.379805159,0.376926661,0.616224468,9.999988174,10.000000000,9.999646187,0.000403410,0.000207096,0.001675010
100,444,turbojpeg,30,6.827260212,93.193579190,93.662896820,88.146475974,0.673301374,0.645450294,1.308418870,9.997196515,9.999231815,9.969489098,0.001070515,0.000398279,0.011039615
100,444,apple_imageio,30,6.827260212,92.884387669,93.157895405,88.080605635,0.710486278,0.698314429,1.776108265,9.996015008,9.998490334,9.969149590,0.001082937,0.000414431,0.010085642
25,422,jpegli,30,0.526614296,48.804439737,48.141606439,37.171494135,5.885617240,5.792798996,9.024969101,9.578316561,9.598210811,9.289391518,0.128510477,0.121375352,0.235258222
25,422,turbojpeg,30,0.526614296,49.548118539,48.957817319,39.134551704,5.818219407,5.506753444,8.714752197,9.602613227,9.621399880,9.297698975,0.122286040,0.113691598,0.231428802
25,422,apple_imageio,30,0.526614296,49.591456907,48.995982359,39.128615373,5.825683443,5.508411885,8.787739754,9.603370666,9.619824886,9.297415733,0.122212044,0.113607078,0.230541050
30,422,jpegli,30,0.575912707,53.112404666,52.826909878,41.504899515,5.454217283,5.184512139,9.428166389,9.636212794,9.651118756,9.336980820,0.118716385,0.111704708,0.225754857
30,422,turbojpeg,30,0.575912707,53.892507689,53.596520082,43.073508821,5.463993351,5.182973147,9.276105881,9.658265527,9.664809227,9.342905998,0.112933944,0.104027450,0.221587181
